ClienteID,CodigoCliente,NombreCliente,TipoCliente,Ciudad,Zona,Telefono,Correo,FechaRegistro,EstadoCliente
156,CLI-156,Farmacia SRL,Empresa Corporativa,Azua,Zona Este,809-349-9587,farmaciasrl@farmacia.do,2020-05-26,Activo
157,CLI-157,TechDist Solutions,Distribuidor Tecnológico,Santo Domingo Norte,Zona Capital,809-468-3333,techdistsolutio@techdist.do,2022-01-24,Activo
158,CLI-158,Supermercados CxA,Empresa Corporativa,Pedernales,Zona Norte,809-471-1767,supermercadoscx@supermer.do,2023-04-17,Activo
159,CLI-159,Mega Shop,Tienda Retail,Bonao,Zona Norte,809-869-2568,megashop@megashop.do,2021-06-23,Activo
160,CLI-160,Cyber Center,Tienda Retail,Azua,Zona Sur,809-832-2379,cybercenter@cybercen.do,2023-08-22,Inactivo
161,CLI-161,Corporación SRL,Empresa Corporativa,Salcedo,Zona Norte,809-491-7661,corporaciónsrl@corporac.do,2018-03-27,Activo
162,CLI-162,BetaTech Distribuidores,Distribuidor Tecnológico,Baní,Zona Capital,809-860-5049,betatechdistrib@betatech.do,2024-01-28,Activo
163,CLI-163,EliteTech & Cía,Distribuidor Tecnológico,Puerto Plata,Zona Oeste,809-466-8495,elitetechca@elitetec.do,2024-07-14,Inactivo
164,CLI-164,Empresa Dominicana,Empresa Corporativa,Pedro Brand,Zona Capital,809-511-5099,empresadominica@empresad.do,2019-09-08,Activo
165,CLI-165,NetStore Shop,Tienda Retail,Montecristi,Zona Oeste,809-510-9663,netstoreshop@netstore.do,2023-09-16,Activo
166,CLI-166,Cyber Shop,Tienda Retail,Santo Domingo Norte,Zona Capital,809-402-3844,cybershop@cybersho.do,2021-02-25,Activo
167,CLI-167,Distribuidora del Caribe,Empresa Corporativa,Santo Domingo,Zona Capital,809-812-2430,distribuidorade@distribu.do,2020-02-15,Activo
168,CLI-168,Hospital CxA,Empresa Corporativa,Puerto Plata,Zona Este,809-344-8128,hospitalcxa@hospital.do,2020-04-24,Activo
169,CLI-169,Seguros Internacional,Empresa Corporativa,San Cristóbal,Zona Capital,809-235-7171,segurosinternac@segurosi.do,2018-09-05,Activo
170,CLI-170,NetWorld Group,Distribuidor Tecnológico,Los Alcarrizos,Zona Capital,809-929-1291,networldgroup@networld.do,2021-06-23,Activo
171,CLI-171,CaribeTech Group,Distribuidor Tecnológico,Cabarete,Zona Oeste,809-957-1833,caribetechgroup@caribete.do,2024-05-25,Inactivo
172,CLI-172,EliteTech & Cía,Distribuidor Tecnológico,Barahona,Zona Norte,809-755-2568,elitetechca@elitetec.do,2023-01-21,Activo
173,CLI-173,Super Express,Tienda Retail,Puerto Plata,Zona Oeste,809-644-4360,superexpress@superexp.do,2023-08-25,Activo
174,CLI-174,Corporación del Caribe,Empresa Corporativa,Santo Domingo,Zona Capital,809-550-9377,corporacióndelc@corporac.do,2021-05-06,Activo
175,CLI-175,Clínica Nacional,Empresa Corporativa,La Romana,Zona Este,809-828-9150,clínicanacional@clínican.do,2022-09-24,Activo
176,CLI-176,Empresa SA,Empresa Corporativa,Santo Domingo,Zona Capital,809-423-5878,empresasa@empresas.do,2018-02-11,Activo
177,CLI-177,TechZone Plaza,Tienda Retail,Bonao,Zona Norte,809-621-5033,techzoneplaza@techzone.do,2021-02-13,Activo
178,CLI-178,DigiDist SRL,Distribuidor Tecnológico,La Romana,Zona Este,809-946-5170,digidistsrl@digidist.do,2022-08-20,Activo
179,CLI-179,ProTech SRL,Distribuidor Tecnológico,Puerto Plata,Zona Oeste,809-526-4217,protechsrl@protechs.do,2020-09-04,Activo
180,CLI-180,NetWorld & Cía,Distribuidor Tecnológico,Santo Domingo Este,Zona Capital,809-894-8209,networldcía@networld.do,2020-11-27,Activo
181,CLI-181,Aerolínea SRL,Empresa Corporativa,Santiago,Zona Norte,809-821-2882,aerolíneasrl@aerolíne.do,2021-04-18,Activo
182,CLI-182,Compu Depot,Tienda Retail,Cotuí,Zona Norte,809-891-6940,compudepot@compudep.do,2021-05-28,Activo
183,CLI-183,NetStore Zone,Tienda Retail,Santo Domingo Este,Zona Capital,809-771-7157,netstorezone@netstore.do,2021-04-28,Activo
184,CLI-184,Universidad Dominicana,Empresa Corporativa,Azua,Zona Capital,809-942-1713,universidaddomi@universi.do,2023-10-05,Activo
185,CLI-185,Tech Hub,Tienda Retail,Baní,Zona Sur,809-932-7501,techhub@techhub.do,2023-06-24,Activo
186,CLI-186,Cyber Point,Tienda Retail,Santo Domingo,Zona Capital,809-357-2213,cyberpoint@cyberpoi.do,2018-08-22,Activo
187,CLI-187,DigiDist Distribuidores,Distribuidor Tecnológico,San Cristóbal,Zona Capital,809-699-3363,digidistdistrib@digidist.do,2020-03-01,Activo
188,CLI-188,AlphaTech Solutions,Distribuidor Tecnológico,Baní,Zona Capital,809-643-7038,alphatechsoluti@alphatec.do,2023-10-14,Activo
189,CLI-189,Compu Plaza,Tienda Retail,Sosúa,Zona Oeste,809-886-8605,compuplaza@compupla.do,2024-11-04,Inactivo
190,CLI-190,TropicTech Solutions,Distribuidor Tecnológico,Baní,Zona Sur,809-409-8100,tropictechsolut@tropicte.do,2024-08-17,Activo
191,CLI-191,Corporación Dominicana,Empresa Corporativa,Punta Cana,Zona Este,809-709-5410,corporacióndomi@corporac.do,2023-11-03,Activo
192,CLI-192,DigiShop Market,Tienda Retail,San Pedro de Macorís,Zona Este,809-857-8754,digishopmarket@digishop.do,2021-03-13,Activo
