VentaID,FacturaID,Fecha,ClienteID,VendedorID,ProductoID,Cantidad,PrecioUnitario,CostoUnitario,Descuento,TotalVenta,TotalCosto,Margen,CanalVenta
153,58,2025-01-12,451,9,19,8,3151.19,2152.61,0.0,25209.54,17220.9,7988.64,Teléfono
154,58,2025-01-09,451,9,14,9,22474.52,16833.64,9816.74,192453.9,151502.8,40951.1,Teléfono
155,59,2025-06-03,405,11,6,2,23068.12,20570.11,0.0,46136.23,41140.22,4996.01,Correo
156,60,2025-01-17,365,12,25,5,3172.2,2394.95,0.0,15861.0,11974.74,3886.26,Correo
157,60,2025-05-03,365,12,22,31,686.88,513.04,963.94,20329.34,15904.12,4425.23,Correo
158,61,2025-08-23,101,8,1,5,19929.26,16802.86,6328.94,94899.57,84014.33,10885.24,Teléfono
159,61,2025-09-11,101,8,11,4,11794.97,9111.81,1095.26,46084.62,36447.24,9637.38,Teléfono
160,62,2024-02-02,175,5,13,10,5891.65,4925.16,1648.11,56609.13,49251.58,7357.55,Teléfono
161,62,2024-03-19,175,5,17,13,3863.03,3118.35,0.0,50219.39,40538.55,9680.84,Teléfono
162,62,2024-07-17,175,5,30,12,3228.89,2652.44,0.0,38746.68,31829.28,6917.4,Teléfono
163,62,2024-08-24,175,5,11,2,7875.28,6331.25,0.0,15750.56,12662.5,3088.06,Teléfono
164,63,2024-07-28,50,11,20,12,394.36,305.98,305.45,4426.84,3671.82,755.02,WhatsApp
165,63,2024-11-23,50,11,16,8,326.21,249.69,52.1,2557.6,1997.52,560.08,WhatsApp
166,64,2024-12-21,357,5,5,5,47167.93,40826.55,0.0,235839.67,204132.74,31706.92,WhatsApp
167,64,2025-06-06,357,5,21,12,4000.17,2954.14,1827.95,46174.1,35449.65,10724.45,WhatsApp
168,64,2025-01-07,357,5,10,8,17466.16,13649.67,0.0,139729.33,109197.38,30531.95,WhatsApp
169,65,2025-11-15,483,12,11,2,6595.63,5596.76,0.0,13191.26,11193.53,1997.73,Correo
170,66,2024-01-24,84,11,14,5,2898.62,2496.29,0.0,14493.11,12481.46,2011.65,Web
171,66,2024-03-19,84,11,23,32,216.64,166.95,389.11,6543.29,5342.4,1200.89,Web
172,66,2024-08-22,84,11,12,8,1145.44,974.36,0.0,9163.5,7794.84,1368.66,Web
173,67,2025-03-21,341,2,16,28,8395.87,5751.54,0.0,235084.37,161043.31,74041.06,Correo
174,67,2025-04-20,341,2,7,9,37537.09,29924.84,0.0,337833.79,269323.58,68510.2,Correo
175,68,2025-03-23,314,2,14,2,8035.53,6501.63,0.0,16071.06,13003.26,3067.8,WhatsApp
176,68,2025-08-14,314,2,8,4,11662.98,9463.67,1355.9,45296.02,37854.68,7441.34,WhatsApp
177,69,2025-08-26,109,9,7,1,10111.78,7960.97,0.0,10111.78,7960.97,2150.8,WhatsApp
178,69,2025-07-05,109,9,3,8,34736.47,28119.27,8563.06,269328.68,224954.16,44374.52,WhatsApp
179,69,2025-06-28,109,9,12,7,5576.96,4314.93,0.0,39038.68,30204.51,8834.17,WhatsApp
180,69,2025-05-14,109,9,19,14,2000.68,1377.8,1437.35,26572.24,19289.13,7283.11,WhatsApp
181,70,2025-06-15,518,7,25,16,2453.73,1839.61,0.0,39259.68,29433.76,9825.92,Teléfono
182,71,2024-07-07,156,1,16,16,617.95,459.21,0.0,9887.16,7347.35,2539.8,Presencial
183,71,2024-09-25,156,1,18,9,1523.64,1189.06,438.94,13273.79,10701.5,2572.29,Presencial
184,71,2024-08-16,156,1,10,5,3101.63,2495.7,0.0,15508.16,12478.48,3029.68,Presencial
185,72,2024-12-30,210,1,24,7,650.57,502.9,0.0,4554.02,3520.34,1033.69,Correo
186,73,2025-09-25,490,3,15,10,3011.77,2325.72,1221.82,28895.9,23257.2,5638.7,Teléfono
187,73,2025-10-08,490,3,19,7,1062.41,792.41,0.0,7436.86,5546.86,1890.0,Teléfono
188,74,2024-06-21,150,2,23,72,508.3,379.94,4269.69,32328.06,27355.97,4972.09,Teléfono
189,74,2024-07-13,150,2,10,6,6154.15,5207.84,0.0,36924.92,31247.02,5677.88,Teléfono
190,74,2025-12-07,150,2,15,18,2790.32,2164.55,2321.04,47904.63,38961.89,8942.74,Teléfono
191,74,2025-09-03,150,2,22,37,314.54,253.5,604.94,11032.92,9379.61,1653.3,Teléfono
192,75,2024-07-05,21,3,4,7,7678.98,6701.09,0.0,53752.86,46907.65,6845.21,Correo
193,75,2024-07-10,21,3,20,22,473.04,366.26,446.25,9960.63,8057.61,1903.02,Correo
194,75,2024-08-22,21,3,12,6,1342.34,1122.02,0.0,8054.01,6732.14,1321.88,Correo
195,75,2024-10-06,21,3,18,14,966.16,785.11,928.02,12598.19,10991.5,1606.68,Correo
196,76,2025-01-27,548,2,5,2,30176.59,26956.54,0.0,60353.18,53913.06,6440.12,Presencial
197,76,2025-03-02,548,2,17,2,12629.9,9506.68,0.0,25259.8,19013.35,6246.44,Presencial
198,77,2025-12-25,250,9,28,3,27727.16,20087.71,0.0,83181.49,60263.14,22918.36,Teléfono
199,77,2025-12-16,250,9,16,10,4022.33,2843.68,1029.67,39193.61,28436.76,10756.85,Teléfono
200,77,2025-12-10,250,9,15,19,14172.5,10399.21,13538.62,255738.96,197585.03,58153.93,Teléfono
201,78,2025-05-04,484,15,4,2,157725.35,125637.6,0.0,315450.71,251275.21,64175.5,Teléfono
202,78,2025-08-17,484,15,17,4,86666.21,61673.25,0.0,346664.85,246693.0,99971.85,Teléfono
203,79,2024-04-25,300,12,7,6,6887.02,5469.86,1129.03,40193.08,32819.13,7373.95,WhatsApp
204,79,2024-05-27,300,12,11,2,10795.9,8409.8,0.0,21591.8,16819.59,4772.2,WhatsApp
205,79,2024-06-15,300,12,19,5,1319.26,962.3,229.41,6366.91,4811.51,1555.4,WhatsApp
206,80,2025-09-01,190,14,9,6,16223.7,12695.16,0.0,97342.17,76170.98,21171.2,Presencial
207,80,2025-09-07,190,14,22,35,383.76,297.16,918.13,12513.47,10400.75,2112.72,Presencial
208,81,2024-09-27,217,1,22,8,438.8,337.93,82.9,3427.53,2703.46,724.07,Teléfono
209,81,2024-10-23,217,1,1,7,19686.79,16684.38,0.0,137807.54,116790.66,21016.88,Teléfono
210,82,2024-03-23,231,2,28,2,8936.0,7052.28,383.16,17488.84,14104.56,3384.29,Presencial
211,82,2024-05-27,231,2,17,2,13389.33,9921.31,0.0,26778.65,19842.62,6936.03,Presencial
212,82,2024-06-22,231,2,16,10,1946.04,1380.43,0.0,19460.34,13804.28,5656.07,Presencial
213,82,2024-06-24,231,2,8,6,16874.41,13560.89,0.0,101246.44,81365.31,19881.13,Presencial
214,83,2024-04-18,30,5,23,28,1194.05,858.56,1300.36,32132.98,24039.67,8093.32,Teléfono
215,83,2024-09-08,30,5,25,17,3554.74,2656.96,2859.76,57570.8,45168.35,12402.45,Teléfono
216,84,2025-01-27,261,8,9,4,13195.73,11000.11,0.0,52782.91,44000.45,8782.47,Correo
217,84,2025-03-02,261,8,6,6,12209.63,10431.76,0.0,73257.78,62590.55,10667.23,Correo
218,84,2025-03-05,261,8,10,4,3876.23,3190.5,0.0,15504.92,12762.01,2742.91,Correo
219,84,2025-04-01,261,8,30,2,4323.93,3709.43,68.05,8532.17,7418.86,1113.31,Correo
220,84,2025-04-04,261,8,23,19,296.95,221.09,252.15,5389.97,4200.73,1189.24,Correo
221,85,2024-11-05,114,5,19,13,523.53,387.78,0.0,6805.89,5041.14,1764.75,WhatsApp
222,85,2025-03-29,114,5,18,6,1034.3,828.46,0.0,6205.82,4970.74,1235.07,WhatsApp
223,85,2024-12-07,114,5,6,9,13701.21,11655.89,5353.9,119027.77,104903.05,14124.72,WhatsApp
224,85,2024-12-23,114,5,29,10,6523.07,5745.18,0.0,65230.74,57451.8,7778.94,WhatsApp
225,85,2024-12-30,114,5,15,13,1490.0,1177.23,1181.66,18188.28,15303.99,2884.29,WhatsApp
226,86,2025-12-16,27,7,18,8,2863.89,2214.15,0.0,22911.12,17713.2,5197.92,Presencial
227,86,2025-12-14,27,7,15,12,4179.61,3053.51,0.0,50155.32,36642.12,13513.2,Presencial
228,87,2025-11-10,486,9,5,1,119523.94,102718.15,0.0,119523.94,102718.15,16805.79,Correo
229,87,2025-10-13,486,9,21,16,8197.98,5904.0,0.0,131167.73,94463.93,36703.8,Correo
230,88,2024-12-12,418,14,4,4,19360.62,16825.58,0.0,77442.48,67302.34,10140.14,WhatsApp
231,88,2025-01-29,418,14,6,1,40185.61,33520.85,0.0,40185.61,33520.85,6664.76,WhatsApp
232,89,2024-08-22,236,13,9,6,11473.57,9764.77,0.0,68841.44,58588.62,10252.82,Teléfono
233,89,2024-09-06,236,13,8,6,8498.05,7209.95,0.0,50988.26,43259.71,7728.54,Teléfono
234,89,2024-07-25,236,13,25,26,775.13,613.91,0.0,20153.45,15961.58,4191.88,Teléfono
235,90,2024-10-13,353,7,7,1,12517.51,9449.34,0.0,12517.51,9449.34,3068.17,Presencial
236,90,2024-11-17,353,7,28,12,13099.13,9751.6,4926.48,152263.11,117019.26,35243.85,Presencial
237,90,2024-10-28,353,7,24,12,2990.01,2120.49,2403.07,33477.04,25445.88,8031.16,Presencial
238,91,2024-11-26,557,6,7,1,2415.23,2061.32,64.69,2350.54,2061.32,289.22,WhatsApp
239,91,2024-12-17,557,6,5,2,10461.98,9677.13,0.0,20923.97,19354.26,1569.71,WhatsApp
240,91,2025-01-23,557,6,28,2,2600.13,2111.96,0.0,5200.26,4223.92,976.34,WhatsApp
241,91,2025-05-22,557,6,26,6,1074.53,879.36,0.0,6447.15,5276.16,1170.99,WhatsApp
242,92,2025-07-23,227,5,11,3,10458.97,8264.06,0.0,31376.9,24792.18,6584.71,Presencial
243,92,2025-07-05,227,5,8,9,13467.39,10562.65,5835.91,115370.56,95063.86,20306.71,Presencial
244,92,2025-07-27,227,5,23,18,707.61,502.54,483.96,12252.99,9045.69,3207.3,Presencial
245,93,2025-05-26,380,5,3,15,14646.92,12810.16,0.0,219703.8,192152.4,27551.4,Presencial
246,93,2025-06-24,380,5,25,13,1346.28,1062.73,0.0,17501.64,13815.49,3686.15,Presencial
247,93,2025-08-03,380,5,24,17,1139.32,834.42,0.0,19368.44,14185.14,5183.3,Presencial
248,93,2025-10-15,380,5,14,3,6383.9,5157.43,0.0,19151.7,15472.29,3679.41,Presencial
249,94,2024-03-31,349,12,12,2,5109.25,3953.06,276.99,9941.51,7906.11,2035.39,Teléfono
250,94,2024-06-26,349,12,17,3,10474.9,7720.95,0.0,31424.7,23162.86,8261.84,Teléfono
251,95,2024-02-11,174,7,18,18,4719.82,3453.34,4014.68,80942.0,62160.13,18781.88,WhatsApp
252,95,2024-02-15,174,7,20,24,2332.48,1629.48,0.0,55979.42,39107.45,16871.98,WhatsApp
253,95,2024-06-11,174,7,21,9,3569.4,2679.36,1031.67,31092.93,24114.23,6978.7,WhatsApp
254,95,2024-10-02,174,7,23,12,1255.96,860.92,661.86,14409.64,10331.06,4078.58,WhatsApp
255,95,2024-10-03,174,7,4,3,36124.1,29970.42,0.0,108372.29,89911.26,18461.03,WhatsApp
256,96,2025-08-07,357,2,27,16,1442.99,1090.91,354.24,22584.72,17454.51,5130.2,Web
257,96,2025-07-16,357,2,10,4,5794.5,4873.01,0.0,23177.99,19492.06,3685.93,Web
258,96,2025-04-24,357,2,22,13,492.29,374.71,162.7,6237.08,4871.18,1365.9,Web
259,96,2025-04-17,357,2,17,29,8559.94,6326.92,0.0,248238.4,183480.78,64757.62,Web
260,96,2025-03-24,357,2,16,5,1201.11,898.64,0.0,6005.54,4493.21,1512.34,Web
