ProductoID,SKU,NombreProducto,Categoria,Marca,PrecioVenta,Costo,StockActual,EstadoProducto,ImagenProductoURL
17,ACC-003,Headset Jabra Evolve2,Accesorios,Jabra,13900,10100,65,Activo,https://www.jabra.com/imagevault/publishedmedia/8xzalw1czjcfzfqpjqtz/jabra-evolve2-30-gallery-1.png
18,ACC-004,Webcam Logitech C920,Accesorios,Logitech,4900,3600,80,Activo,https://resource.logitech.com/content/dam/logitech/en/products/webcams/c920s/gallery/c920s-gallery-1.png
19,ACC-005,Mochila Targus para Laptop,Accesorios,Targus,2400,1700,200,Activo,https://www.targus.com/on/demandware.static/-/Sites-targus-master/default/dw6af33f10/images/hi-res/TSB796GL_S2.jpg
20,PER-001,Hub USB-C 7 en 1,Periféricos,Anker,2400,1700,110,Activo,https://a.scdn.co/p/original/number/b71ed27bae76d1f84bca/image
21,PER-002,Disco Externo WD 1TB,Periféricos,Western Digital,3800,2800,88,Activo,https://www.westerndigital.com/content/dam/store/en-us/assets/products/portable-storage/my-passport-usb-3-0-hdd/gallery/wd-my-passport-black-1.png.thumb.1280.1280.png
22,PER-003,Memoria USB Kingston 64GB,Periféricos,Kingston,800,600,300,Activo,https://media.kingston.com/kingston/product/dtse9g2_1-lg.jpg
23,PER-004,Adaptador HDMI a VGA,Periféricos,Belkin,1300,900,180,Activo,https://www.belkin.com/dw/image/v2/BGLY_PRD/on/demandware.static/-/Sites-master-catalog/default/dwa52fd39a/F2CD028btBLK_G00001.jpg
24,COM-001,RAM DDR4 16GB Kingston,Componentes,Kingston,3100,2200,95,Activo,https://media.kingston.com/kingston/product/ktc-product-ram-kvr-1-lg.jpg
25,COM-002,SSD Samsung 500GB,Componentes,Samsung,3800,2800,110,Activo,https://image-us.samsung.com/SamsungUS/home/computing/memory-storage/solid-state-drives/06012021/870EVO-Main-image.jpg
26,COM-003,SSD M.2 Western Digital 1TB,Componentes,Western Digital,5500,4100,70,Activo,https://www.westerndigital.com/content/dam/store/en-us/assets/products/internal-storage/wd-blue-sn570-nvme-ssd/gallery/wd-blue-sn570-nvme-ssd-1.png.thumb.319.319.png
27,COM-004,Tarjeta de Red TP-Link WiFi,Componentes,TP-Link,1700,1200,140,Activo,https://static.tp-link.com/TL-WN881ND_V3_1.0_01_large_1478587499729p.jpg
28,COM-005,UPS APC 1500VA,Componentes,APC,13200,10000,45,Activo,https://apc.com/content/dam/apc/en_US/images/catalog/UPS/SU1500RMXLI3U.jpg
29,LAP-007,Laptop Acer Aspire 5 i5,Laptops,Acer,38200,31300,38,Activo,https://static.acer.com/up/Resource/Acer/Laptops/Aspire_5/Images/Gallery/20221129/A515-55G-534H-back.png
30,MON-005,"Monitor Acer 24"" IPS",Monitores,Acer,11100,8700,65,Activo,https://www.acer.com/content/dam/acer/north-america/us/PDPImages/acer-24-inch-monitor-eb1-series-1.png
